Ticker,Sector,Industry,Close,PE Ratio,PB Ratio,ROE,EV/EBITDA,Capital Expenditure,Working Capital,Depreciation & Amortization,SUN 10 Year,Beta,Market Risk Premium,Dividend Per Share,Dividend Yield,Dividend Time,Payout Frequency,Expected Dividend Growth,EPS CAGR 5Y (%)
AADI,Energy,Thermal Coal,11600.0,6.47,1.32,0.233,4.24,-5229560000000.0,33110000000000.0,2160000000000.0002,0.0715,,0.22,1061.64,0.0915,JUN & NOV,Semi-Annual,0.10279959999999999,0.0
ADRO,Energy,Thermal Coal,2620.0,7.25,0.82,0.1234,5.22,-8505160000000.0,31230000000000.0,3410000000000.0,0.0715,-0.23,0.22,275.47,0.1051,MAY & DEC,Semi-Annual,0.028542419999999992,-7.79
AKRA,Energy,Oil & Gas Refining & Marketing,1455.0,10.67,1.78,0.1953,7.44,-1002620000000.0,6060000000000.0,481460000000.0,0.0715,-0.43,0.22,100.0,0.0687,MAY & AUG,Semi-Annual,0.052320870000000005,19.59
BSSR,Energy,Thermal Coal,4920.0,7.45,2.72,0.34759999999999996,3.32,-359030000000.0,2350000000000.0,1080000000000.0001,0.0715,-0.42,0.22,473.82,0.09630000000000001,JAN & JUN & NOV,Semi-Annual,0.07973943999999997,-12.94
BUMI,Energy,Thermal Coal,192.0,33.44,1.35,0.0542,18.65,-3154770000000.0,3970000000000.0,399880000000.0,0.0715,-0.0,0.22,,,-,,,Negatif/Deklinasi
BYAN,Energy,Thermal Coal,13125.0,29.5,9.46,0.3477,19.44,-3280530000000.0,15190000000000.0,2190000000000.0,0.0715,-0.46,0.22,289.8,0.022099999999999998,JUN / DEC,Annual,0.17989998000000004,-12.94
ELSA,Energy,Oil & Gas Equipment & Services,695.0,6.21,0.93,0.1573,1.51,-574020000000.0,2500000000000.0,400670000000.0,0.0715,0.09,0.22,39.11,0.056299999999999996,JUN,Annual,0.1560416,49.67
ENRG,Energy,Oil & Gas Exploration & Production,1275.0,18.97,2.18,0.12789999999999999,6.6,-6048130000000.0,-3386220000000.0,1330000000000.0,0.0715,0.16,0.22,,,-,,,Negatif/Deklinasi
GEMS,Energy,Thermal Coal,7375.0,11.22,3.19,0.2897,6.89,-346540000000.0,4400000000000.0,723810000000.0,0.0715,-0.23,0.22,1360.57,0.1845,JUN,Semi-Annual,0.019265050000000002,-7.79
INDY,Energy,Thermal Coal,2730.0,56.82,0.59,0.030699999999999998,7.2,-2605550000000.0,12200000000000.0,546240000000.0,0.0715,0.33,0.22,17.21,0.0063,JUN / MAY,Annual,0.024081079999999998,Negatif/Deklinasi
ITMG,Energy,Thermal Coal,26125.0,7.96,0.84,0.1112,2.73,-1268810000000.0,15090000000000.0,346560000000.0,0.0715,-0.64,0.22,1764.5,0.0675,APR & NOV,Semi-Annual,0.049350559999999995,-15.98
KKGI,Energy,Thermal Coal,330.0,24.64,0.61,0.019299999999999998,3.28,-51560000000.0,1040000000000.0,43400000000.0,0.0715,-0.41,0.22,29.0,0.08789999999999999,JUN & DEC,Semi-Annual,-0.03643260999999999,Negatif/Deklinasi
