Ticker,Altman Z-Score,Total Assets,Retained Earnings,Market Cap
AADI,,5781000000.0,956600000.0,82930000000000.0
ADRO,2.22,7805000000.0,3403000000.0,76320000000000.0
AKRA,2.91,39295482000000.0,10572231000000.0,27720000000000.0
BSSR,5.89,432540000.0,195830000.0,12270000000000.0
BUMI,2.21,4593000000.0,139860000.0,76500000000000.0
BYAN,18.72,3780000000.0,2359000000.0,456670000000000.0
ELSA,2.81,11401182000000.0,4353890000000.0,5220000000000.0
ENRG,1.29,1969000000.0,-238630000.0,35990000000000.0
GEMS,7.99,1226000000.0,562910000.0,41910000000000.0
INDY,1.73,3228000000.0,889350000.0,14150000000000.0
ITMG,4.33,2417000000.0,1521000000.0,28780000000000.0
KKGI,4.9,174040000.0,180190000.0,1430000000000.0
MCOL,5.6,743460000.0,423460000.0,13370000000000.0
MEDC,1.06,8273000000.0,1633000000.0,35660000000000.0
MYOH,5.7,222810000.0,150840000.0,2500000000000.0
PTBA,2.71,43228243000000.0,20298537000000.0,31320000000000.0
SICO,3.34,187078000000.0,44416000000.0,103750000000.0
TOBA,0.96,764420000.0,84090000.0,4950000000000.0
AMMN,3.22,14010000000.0,3489000000.0,320790000000000.0
ANTM,4.87,61272871000000.0,20049315000000.0,72830000000000.0
AVIA,11.31,11297600000000.0,2307788000000.0,21630000000000.0
BRMS,,1413000000.0,,102080000000000.0
BRPT,1.66,18952000000.0,1037000000.0,168680000000000.0
CITA,24.26,8544332000000.0,6326653000000.0,13500000000000.0
CLPI,3.5,965248000000.0,546673000000.0,492730000000.0
DKFT,3.15,3219671000000.0,529841000000.0,3910000000000.0
ESSA,4.73,693330000.0,266260000.0,12320000000000.0
FWCT,2.2,753380000000.0,112567000000.0,178630000000.0
GDST,1.0,3908466000000.0,398338000000.0,1040000000000.0
GGRP,1.29,850940000.0,248500000.0,3880000000000.0
INCO,4.85,3383000000.0,2307000000.0,50800000000000.0
INKP,1.62,13249000000.0,4984000000.0,48280000000000.0
INTP,3.41,30231555000000.0,21317825000000.0,18100000000000.0
ISSP,2.03,10451274000000.0,3136916000000.0,3200000000000.0
MBMA,2.12,3968000000.0,109550000.0,56700000000000.0
MDKA,1.35,6027000000.0,201760000.0,70319999999999.99
MINE,3.48,1921187000000.0,497306000000.0,1030000000000.0
NCKL,3.64,70985378000000.0,22257724000000.0,59520000000000.0
NICL,52.68,962049000000.0,185031000000.0,5420000000000.0
PBID,6.55,3686512000000.0,1876199000000.0,3940000000000.0
PSAB,3.65,983900000.0,441240000.0,14950000000000.0
SAMF,2.72,4461386000000.0,1057210000000.0,3200000000000.0
SMGR,,75459729000000.0,34759979000000.0,12020000000000.0
SRSN,4.5,1012745000000.0,408546000000.0,595980000000.0
TINS,5.42,16448966000000.0,9959836000000.0,29870000000000.0
TKIM,2.02,4179000000.0,2498000000.0,26070000000000.0
TPIA,3.63,13766000000.0,1993000000.0,174660000000000.0
BLES,2.57,2133307000000.0,443541000000.0,1750000000000.0
DGWG,2.09,4453496000000.0,298330000000.0,2020000000000.0
FPNI,2.76,181460000.0,-98800000.0,3450000000000.0
PART,2.81,399812000000.0,67108000000.0,318500000000.0
SMGA,3.08,1221150000000.0,105292000000.0,770000000000.0
ABMM,1.37,2057000000.0,716370000.0,7680000000000.0
ASII,2.14,514517000000000.0,219756000000000.0,193210000000000.0
HEXA,2.89,409750000.0,139650000.0,3770000000000.0
JTPE,3.81,2749308000000.0,958482000000.0,4139999999999.9995
KBLI,3.8,3825574000000.0,2158313000000.0,1320000000000.0
KUAS,1.77,308526000000.0,38700000000.0,130570000000.0
MSJA,4.34,107170000.0,10290000.0,2580000000000.0
PBSA,5.27,1471730000000.0,298384000000.0,2430000000000.0
SCCO,4.93,6215058000000.0,2775421000000.0,1990000000000.0
SKRN,3.82,1432472000000.0,172506000000.0,2760000000000.0
TOTL,2.38,4195416000000.0,913493000000.0,4860000000000.0
UNTR,2.43,179058512000000.0,82784470000000.0,87500000000000.0
CARS,2.6,3132039000000.0,756393000000.0,1680000000000.0
GJTL,1.92,23591378000000.0,8800149000000.0,4810000000000.0
MPPA,1.05,3096224000000.0,-2953260000000.0,583500000000.0
AALI,4.57,28854423000000.0,19190195000000.0,16120000000000.002
AMRT,5.91,42788957000000.0,15512433000000.0,53620000000000.0
BUDI,1.92,4295324000000.0,730492000000.0,1030000000000.0
CLEO,9.69,3508094000000.0,1962866000000.0,9700000000000.0
CMRY,14.33,9247647000000.0,3355796000000.0,37290000000000.0
CPIN,5.97,52380933000000.0,34758309000000.0,53790000000000.0
DSNG,3.62,17814315000000.0,8589383000000.0,18020000000000.0
GGRM,4.12,77787029000000.0,63022253000000.0,38670000000000.0
HMSP,4.24,49897097000000.0,4292360000000.0,84910000000000.0
ICBP,2.56,143985924000000.0,45794427000000.0,86010000000000.0
INDF,1.92,231245059000000.0,63776240000000.0,63000000000000.0
JPFA,3.46,45145132000000.0,16714251000000.0,26220000000000.0
LSIP,5.22,16294964000000.0,12598567000000.0,10980000000000.0
MIDI,4.76,9272359000000.0,3013905000000.0,9160000000000.0
MLBI,5.09,4014827000000.0,1064173000000.0,13910000000000.0
MYOR,6.02,28525087000000.0,18389128000000.0,34250000000000.0
NSSS,6.37,4297847000000.0,829050000000.0,21180000000000.0
PNGO,6.33,1714968000000.0,1165269000000.0,2710000000000.0
ROTI,2.96,3471188000000.0,706037000000.0,3260000000000.0
TAPG,9.08,14823740000000.0,6614313000000.0,46650000000000.0
TBLA,1.59,31759505000000.0,7382923000000.0,3810000000000.0
TLDN,4.04,6342799000000.0,2247086000000.0,7830000000000.0
WIIM,4.8,3395754000000.0,1767746000000.0,3420000000000.0
YUPI,8.48,3149880000000.0,692157000000.0,11410000000000.0
BWPT,1.33,9943233000000.0,211194000000.0,4110000000000.0005
GZCO,0.84,2153677000000.0,-696259000000.0,1190000000000.0
SIMP,1.85,42347028000000.0,15700679000000.0,10150000000000.0
STAA,5.3,10039272000000.0,4084964000000.0,13730000000000.0
ACES,4.74,8826928000000.0,5791809000000.0,5990000000000.0
AUTO,3.13,23881905000000.0,12080205000000.0,16340000000000.0
EAST,9.36,484881000000.0,10150000000.0,371380000000.0
ERAA,3.88,29348808000000.0,7236480000000.0,8130000000000.001
KDSI,3.37,1426078000000.0,594484000000.0,745200000000.0
LPIN,5.47,386861000000.0,255858000000.0,181900000000.0
MAPI,3.24,35416597000000.0,12057207000000.0,23740000000000.0
MNCN,3.13,25248445000000.0,20580232000000.0,2650000000000.0
MPMX,4.07,7868387000000.0,2352925000000.0,4520000000000.0
PANR,3.74,1918796000000.0,319368000000.0,593850000000.0
