Ticker,Trend (MA),MA200 Status,Sinyal Teknikal,RSI (14),MACD Line,MACD Signal,Flow 1D,Flow 2D,Flow 3D,Flow 4D,Flow 1W,Flow 1M,Flow 3M,Flow 6M
AADI,UPTREND,ABOVE MA200,TERKONFIRMASI,58.63,661.91,717.41,-3.08 B,-9.20 B,-9.39 B,-8.47 B,-8.23 B,+31.16 B,+50.18 B,-44.11 B
ADRO,UPTREND,ABOVE MA200,TERKONFIRMASI,49.5,16.74,31.58,-571.07 M,-2.79 B,+241.74 M,+774.10 M,-27.24 M,+8.73 B,+18.46 B,-42.93 B
AKRA,UPTREND,ABOVE MA200,TERKONFIRMASI,51.28,20.85,23.33,-274.01 M,-274.01 M,-305.38 M,-403.50 M,-681.02 M,+7.10 B,+4.85 B,+8.02 B
BSSR,UPTREND,ABOVE MA200,TERKONFIRMASI,66.39,136.69,145.61,-27.68 M,-27.68 M,+77.65 M,+65.53 M,+36.26 M,+1.42 B,+1.82 B,+1.70 B
BUMI,UPTREND,BELOW MA200,TERKONFIRMASI,44.8,4.19,7.72,-1.81 B,-32.40 B,-32.40 B,-47.13 B,-47.13 B,+59.56 B,+372.00 B,+263.69 B
BYAN,UPTREND,BELOW MA200,TERKONFIRMASI,50.8,-295.16,-174.6,-5.35 B,+20.99 B,+21.50 B,+32.83 B,+30.64 B,+24.58 B,+42.22 B,+43.41 B
ELSA,UPTREND,ABOVE MA200,TERKONFIRMASI,45.15,3.2,9.24,0,-186.69 M,-265.71 M,-419.56 M,-484.34 M,-335.20 M,+8.34 B,+19.75 B
ENRG,UPTREND,BELOW MA200,TERKONFIRMASI,42.88,15.46,31.0,-1.58 B,-1.88 B,-8.25 B,-11.83 B,-12.98 B,+15.94 B,+34.54 B,+69.21 B
GEMS,UPTREND,BELOW MA200,TERKONFIRMASI,58.83,163.81,204.5,+20.30 M,+26.55 M,-14.79 M,-18.38 M,-15.74 M,+189.36 M,+223.16 M,-189.61 M
INDY,UPTREND,BELOW MA200,TERKONFIRMASI,50.45,41.47,67.33,0,-264.00 M,+402.40 M,-205.42 M,-724.03 M,+15.90 B,+40.51 B,+27.08 B
